Item_Description,Amount,Traffic_Source,Session_Duration
Google Stickers,5,Organic Search,584
Google Water Bottle,10,Organic Search,418
Lanyard,6,Paid Search,163
Backpack,125,Direct,"2,140"
Google Stickers,5,Social Media,348
Backpack,125,Direct,292
Google Stickers,5,Direct,"2,675"
Lanyard,6,Direct,"3,208"
Greeting Cards,6,Direct,"3,317"
Canvas Tote,18,Referral,"3,056"
Canvas Tote,18,Direct,"2,003"
YouTube Cap,15,Paid Search,"1,927"
Backpack,125,Direct,"3,299"
Greeting Cards,6,Paid Search,"1,389"
Canvas Tote,18,Organic Search,64
Google Stickers,5,Direct,785
Google Stickers,5,Social Media,"1,944"
Canvas Tote,18,Organic Search,"2,791"
Google Water Bottle,10,Direct,"3,508"
Google Hoodie,124,Direct,"2,828"
Google Hoodie,124,Referral,"2,657"
Backpack,125,Referral,593
Notebook,20,Referral,"2,329"
Google Stickers,5,Direct,449
Google Hoodie,124,Organic Search,"1,821"
Google Hoodie,124,Direct,507
Backpack,125,Paid Search,"2,184"
Android T-Shirt,20,Organic Search,"3,001"
Google Water Bottle,10,Paid Search,"1,408"
Greeting Cards,6,Paid Search,597
Backpack,125,Paid Search,201
Puffer Vest,115,Paid Search,"1,006"
Google Water Bottle,10,Referral,327
Notebook,20,Referral,"2,307"
Google Stickers,5,Direct,"2,041"
Google Stickers,5,Direct,"2,507"
Android T-Shirt,20,Referral,95
Puffer Vest,115,Social Media,"2,250"
Canvas Tote,18,Direct,856
Google Stickers,5,Organic Search,"2,153"
Google Stickers,5,Paid Search,"3,496"
Notebook,20,Referral,"2,100"
Canvas Tote,18,Organic Search,"2,610"
Google Hoodie,124,Direct,710
Google Water Bottle,10,Social Media,"3,557"
Backpack,125,Social Media,317
Lanyard,6,Paid Search,"2,010"
YouTube Cap,15,Organic Search,163
Canvas Tote,18,Direct,"2,188"
Google Stickers,5,Organic Search,"1,345"
Google Stickers,5,Social Media,313
Android T-Shirt,20,Paid Search,644
Backpack,125,Paid Search,"2,274"
Backpack,125,Referral,"1,678"
Google Hoodie,124,Paid Search,"3,026"
Google Stickers,5,Organic Search,"1,153"
Greeting Cards,6,Social Media,"2,976"
Google Stickers,5,Organic Search,102
Google Stickers,5,Social Media,"2,109"
Google Stickers,5,Paid Search,"1,546"
Puffer Vest,115,Social Media,"2,211"
Notebook,20,Paid Search,903
Google Stickers,5,Organic Search,"2,749"
Google Hoodie,124,Direct,"1,006"
Greeting Cards,6,Organic Search,"1,373"
Google Stickers,5,Social Media,"3,189"
Canvas Tote,18,Paid Search,332
Android T-Shirt,20,Referral,"1,104"
Google Stickers,5,Referral,"3,457"
Google Hoodie,124,Organic Search,622
Greeting Cards,6,Paid Search,"1,379"
Android T-Shirt,20,Paid Search,"2,922"
Google Stickers,5,Social Media,463
Android T-Shirt,20,Direct,"3,227"
YouTube Cap,15,Social Media,"1,040"
Android T-Shirt,20,Direct,469
Android T-Shirt,20,Organic Search,165
Google Stickers,5,Referral,"3,563"
Google Stickers,5,Direct,"2,354"
Lanyard,6,Referral,"1,092"
Google Stickers,5,Paid Search,"2,426"
Google Hoodie,124,Paid Search,"1,523"
Google Stickers,5,Social Media,294
Android T-Shirt,20,Direct,"2,583"
Lanyard,6,Social Media,"1,528"
Google Stickers,5,Paid Search,"1,427"
Google Stickers,5,Direct,"2,924"
Google Stickers,5,Paid Search,"2,794"
Puffer Vest,115,Direct,"3,593"
Google Stickers,5,Direct,"1,732"
YouTube Cap,15,Organic Search,"2,072"
Google Hoodie,124,Organic Search,"1,727"
Puffer Vest,115,Direct,697
Google Stickers,5,Organic Search,487
Greeting Cards,6,Referral,37
Android T-Shirt,20,Paid Search,"1,508"
Google Hoodie,124,Paid Search,"3,581"
Google Hoodie,124,Paid Search,"2,984"
Notebook,20,Social Media,"2,511"
Google Water Bottle,10,Direct,238
Notebook,20,Paid Search,"2,171"
Lanyard,6,Direct,"1,599"
Lanyard,6,Paid Search,"2,612"
Google Stickers,5,Organic Search,"2,589"
Canvas Tote,18,Social Media,"1,840"
Google Stickers,5,Referral,"3,471"
Google Stickers,5,Paid Search,927
Google Stickers,5,Social Media,"3,000"
Google Stickers,5,Organic Search,"2,820"
Canvas Tote,18,Organic Search,"3,122"
Backpack,125,Paid Search,"1,263"
Google Stickers,5,Social Media,"2,828"
Canvas Tote,18,Referral,"1,415"
Google Stickers,5,Social Media,912
Google Stickers,5,Paid Search,534
Notebook,20,Social Media,573
Android T-Shirt,20,Organic Search,"2,607"
Greeting Cards,6,Organic Search,"2,922"
Puffer Vest,115,Organic Search,"1,457"
YouTube Cap,15,Organic Search,494
Greeting Cards,6,Direct,"2,973"
Google Stickers,5,Direct,"2,603"
Puffer Vest,115,Organic Search,"2,387"
Greeting Cards,6,Direct,"1,260"
Android T-Shirt,20,Organic Search,"3,215"
Puffer Vest,115,Referral,"3,009"
Google Stickers,5,Paid Search,"1,047"
YouTube Cap,15,Paid Search,"3,521"
Google Stickers,5,Paid Search,626
Notebook,20,Organic Search,"2,577"
Google Stickers,5,Paid Search,"2,859"
Google Hoodie,124,Paid Search,"3,413"
Notebook,20,Social Media,"1,719"
Notebook,20,Direct,"1,155"
Google Hoodie,124,Paid Search,497
Google Stickers,5,Direct,741
Google Stickers,5,Referral,669
Google Stickers,5,Organic Search,"1,705"
Google Stickers,5,Social Media,"2,375"
Google Stickers,5,Social Media,"1,866"
Notebook,20,Direct,"1,516"
Google Stickers,5,Referral,"2,808"
Google Hoodie,124,Organic Search,850
Notebook,20,Direct,302
Google Hoodie,124,Social Media,"2,426"
Android T-Shirt,20,Direct,"1,502"
Android T-Shirt,20,Organic Search,"2,425"
Google Stickers,5,Referral,585
Puffer Vest,115,Social Media,963
Notebook,20,Paid Search,"2,771"
Canvas Tote,18,Referral,"1,349"
Google Stickers,5,Paid Search,"3,336"
Google Water Bottle,10,Organic Search,"2,452"
Canvas Tote,18,Organic Search,"2,188"
Puffer Vest,115,Paid Search,"1,721"
Google Stickers,5,Organic Search,"2,944"
Google Stickers,5,Organic Search,"1,276"
Backpack,125,Direct,"3,227"
Google Water Bottle,10,Direct,"1,141"
Google Stickers,5,Referral,"1,137"
Lanyard,6,Referral,867
Google Stickers,5,Paid Search,"1,008"
Google Stickers,5,Referral,"1,787"
Google Hoodie,124,Referral,794
Backpack,125,Social Media,"1,698"
Google Water Bottle,10,Organic Search,"1,210"
Canvas Tote,18,Direct,"3,012"
Google Water Bottle,10,Referral,"2,781"
Android T-Shirt,20,Social Media,"2,433"
Google Stickers,5,Referral,"3,131"
Google Stickers,5,Social Media,"1,978"
Google Stickers,5,Direct,"1,906"
Notebook,20,Organic Search,358
Puffer Vest,115,Paid Search,"1,598"
Greeting Cards,6,Social Media,739
YouTube Cap,15,Referral,"2,015"
Google Stickers,5,Social Media,"1,261"
Google Stickers,5,Organic Search,"3,009"
Notebook,20,Paid Search,612
Google Stickers,5,Paid Search,"1,086"
Google Hoodie,124,Paid Search,"2,974"
Canvas Tote,18,Organic Search,"1,731"
Google Hoodie,124,Referral,"3,428"
Google Hoodie,124,Social Media,"2,373"
Notebook,20,Direct,"2,176"
Google Stickers,5,Organic Search,"3,426"
Canvas Tote,18,Paid Search,"1,839"
Google Water Bottle,10,Organic Search,83
Lanyard,6,Organic Search,"3,118"
Google Hoodie,124,Referral,"1,639"
Google Stickers,5,Social Media,"3,274"
Google Water Bottle,10,Referral,926
Android T-Shirt,20,Social Media,"1,441"
Google Water Bottle,10,Direct,"3,521"
Puffer Vest,115,Direct,"2,247"
Google Stickers,5,Organic Search,"1,789"
Google Stickers,5,Social Media,"2,753"
Backpack,125,Social Media,"1,099"
Canvas Tote,18,Referral,753
Google Stickers,5,Referral,"1,648"
Notebook,20,Paid Search,"1,839"
Google Stickers,5,Social Media,"1,625"
Greeting Cards,6,Paid Search,"2,561"
Lanyard,6,Social Media,"2,503"
Google Stickers,5,Social Media,"2,594"
Lanyard,6,Social Media,585
Google Stickers,5,Paid Search,"2,834"
Canvas Tote,18,Direct,"3,334"
Google Stickers,5,Direct,926
Notebook,20,Social Media,612
Lanyard,6,Social Media,238
Google Stickers,5,Social Media,783
Google Hoodie,124,Organic Search,"3,121"
Lanyard,6,Social Media,"3,557"
Backpack,125,Referral,"2,189"
Google Stickers,5,Organic Search,422
Google Stickers,5,Direct,"1,311"
Google Stickers,5,Direct,"3,590"
Google Stickers,5,Referral,"2,974"
Google Hoodie,124,Direct,"2,322"
Google Stickers,5,Social Media,"1,037"
Google Stickers,5,Social Media,"1,344"
Google Water Bottle,10,Organic Search,"2,749"
Google Hoodie,124,Paid Search,"2,456"
Google Stickers,5,Paid Search,"3,439"
Canvas Tote,18,Referral,"1,560"
Android T-Shirt,20,Social Media,"1,144"
Android T-Shirt,20,Direct,"1,900"
Greeting Cards,6,Referral,"1,873"
Google Stickers,5,Direct,"2,823"
Canvas Tote,18,Referral,612
Google Stickers,5,Organic Search,"2,678"
Google Stickers,5,Social Media,"1,367"
Google Stickers,5,Organic Search,"2,211"
Google Stickers,5,Referral,"3,311"
Puffer Vest,115,Referral,"1,456"
Google Water Bottle,10,Paid Search,812
Google Stickers,5,Organic Search,"2,219"
Google Hoodie,124,Social Media,915
Backpack,125,Referral,"1,857"
Google Water Bottle,10,Organic Search,865
YouTube Cap,15,Organic Search,"2,559"
Google Stickers,5,Referral,181
Puffer Vest,115,Paid Search,"1,415"
Google Hoodie,124,Paid Search,333
Google Stickers,5,Organic Search,469
Google Stickers,5,Paid Search,"2,377"
Lanyard,6,Paid Search,878
YouTube Cap,15,Referral,"3,115"
Notebook,20,Organic Search,"1,159"
Google Stickers,5,Direct,"3,001"
YouTube Cap,15,Direct,"2,301"
Greeting Cards,6,Paid Search,"1,678"
Notebook,20,Referral,746
Puffer Vest,115,Paid Search,"1,486"
Google Stickers,5,Referral,"2,794"
Notebook,20,Organic Search,"3,089"
Google Stickers,5,Organic Search,"3,353"
Android T-Shirt,20,Paid Search,"2,630"
Canvas Tote,18,Referral,"3,561"
Notebook,20,Organic Search,"2,984"
Notebook,20,Paid Search,45
Notebook,20,Referral,"3,269"
Backpack,125,Direct,"1,836"
Lanyard,6,Social Media,"1,239"
YouTube Cap,15,Organic Search,"1,071"
Google Water Bottle,10,Paid Search,"3,028"
Google Stickers,5,Referral,"1,964"
Google Stickers,5,Social Media,72
Canvas Tote,18,Referral,"2,941"
Greeting Cards,6,Direct,"2,006"
Google Stickers,5,Social Media,"1,438"
Notebook,20,Social Media,"1,597"
Google Stickers,5,Social Media,"2,922"
Google Water Bottle,10,Organic Search,"2,179"
YouTube Cap,15,Organic Search,694
Puffer Vest,115,Paid Search,"1,309"
Google Hoodie,124,Referral,"3,158"
Lanyard,6,Social Media,"2,092"
Google Hoodie,124,Paid Search,620
Google Stickers,5,Referral,"1,396"
Google Stickers,5,Referral,512
Google Stickers,5,Organic Search,20
Backpack,125,Organic Search,"2,859"
Notebook,20,Paid Search,"2,406"
Google Hoodie,124,Referral,"2,491"
Google Stickers,5,Referral,537
Greeting Cards,6,Direct,505
Lanyard,6,Direct,"2,956"
Notebook,20,Referral,"2,402"
Greeting Cards,6,Organic Search,"1,493"
Google Water Bottle,10,Social Media,"2,013"
Canvas Tote,18,Referral,"2,092"
Google Stickers,5,Social Media,"2,130"
Backpack,125,Referral,342
Google Stickers,5,Paid Search,"2,141"
Notebook,20,Direct,"1,346"
Google Stickers,5,Direct,"1,256"
Google Stickers,5,Organic Search,"2,247"
Lanyard,6,Paid Search,"3,042"
YouTube Cap,15,Organic Search,"1,074"
Google Stickers,5,Direct,"3,027"
Puffer Vest,115,Referral,"3,068"
Greeting Cards,6,Paid Search,"1,047"
Google Hoodie,124,Direct,"2,890"
Google Stickers,5,Direct,"1,824"
Greeting Cards,6,Social Media,73
Google Stickers,5,Paid Search,"1,461"
Puffer Vest,115,Social Media,"1,004"
Google Hoodie,124,Direct,"3,293"
Google Stickers,5,Direct,"2,661"
Backpack,125,Paid Search,"3,416"
YouTube Cap,15,Paid Search,"3,197"
Google Hoodie,124,Referral,"1,640"
Greeting Cards,6,Organic Search,221
Google Stickers,5,Referral,"2,252"
Lanyard,6,Social Media,"3,140"
Google Water Bottle,10,Paid Search,"2,190"
Lanyard,6,Paid Search,238
Lanyard,6,Direct,"2,933"
Notebook,20,Paid Search,"1,654"
Google Hoodie,124,Paid Search,"1,423"
Notebook,20,Organic Search,"1,267"
Android T-Shirt,20,Paid Search,573
Lanyard,6,Direct,"3,273"
Lanyard,6,Referral,"2,696"
Google Stickers,5,Social Media,"1,471"
Greeting Cards,6,Direct,"2,602"
Google Hoodie,124,Organic Search,"1,584"
Google Stickers,5,Paid Search,"2,778"
Google Stickers,5,Organic Search,"1,248"
Google Stickers,5,Paid Search,"1,436"
Canvas Tote,18,Paid Search,402
Google Stickers,5,Social Media,"3,166"
Google Stickers,5,Social Media,790
Puffer Vest,115,Social Media,677
Google Hoodie,124,Direct,"2,399"
Google Hoodie,124,Organic Search,"1,629"
Google Stickers,5,Referral,227
Google Stickers,5,Referral,"1,095"
Google Hoodie,124,Referral,67
Google Stickers,5,Direct,942
Android T-Shirt,20,Organic Search,755
Notebook,20,Social Media,"3,237"
Android T-Shirt,20,Paid Search,"1,943"
Backpack,125,Social Media,"1,456"
Google Hoodie,124,Organic Search,"2,669"
Backpack,125,Referral,"2,786"
Google Stickers,5,Paid Search,"3,189"
Lanyard,6,Social Media,"3,274"
Google Stickers,5,Organic Search,808
Google Stickers,5,Social Media,"2,924"
Google Stickers,5,Paid Search,878
Canvas Tote,18,Direct,"3,525"
Notebook,20,Direct,478
Puffer Vest,115,Organic Search,"2,714"
Google Water Bottle,10,Direct,"3,107"
Google Water Bottle,10,Direct,"1,614"
Puffer Vest,115,Paid Search,"3,153"
Google Water Bottle,10,Direct,129
Backpack,125,Direct,"3,426"
Backpack,125,Social Media,"2,216"
Google Stickers,5,Paid Search,"3,306"
Backpack,125,Organic Search,971
Lanyard,6,Paid Search,"1,939"
Lanyard,6,Paid Search,"1,968"
Google Hoodie,124,Referral,"2,608"
Greeting Cards,6,Organic Search,"1,395"
Puffer Vest,115,Organic Search,"1,574"
Notebook,20,Direct,"1,944"
Google Stickers,5,Organic Search,"2,003"
Google Stickers,5,Social Media,"1,588"
Android T-Shirt,20,Referral,"1,099"
Notebook,20,Social Media,"2,679"
Google Hoodie,124,Direct,"2,437"
Google Stickers,5,Referral,341
Canvas Tote,18,Direct,"1,059"
Google Stickers,5,Organic Search,"1,540"
Android T-Shirt,20,Referral,403
Android T-Shirt,20,Referral,"2,221"
Google Stickers,5,Organic Search,481
Google Hoodie,124,Paid Search,"3,365"
Google Stickers,5,Organic Search,"2,014"
Puffer Vest,115,Paid Search,985
Android T-Shirt,20,Direct,176
Canvas Tote,18,Paid Search,262
Greeting Cards,6,Direct,"2,680"
Android T-Shirt,20,Paid Search,18
Google Hoodie,124,Social Media,"1,745"
Google Hoodie,124,Direct,728
Google Hoodie,124,Paid Search,"3,275"
Canvas Tote,18,Social Media,"1,366"
Google Hoodie,124,Referral,"2,298"
Greeting Cards,6,Paid Search,"3,305"
Google Stickers,5,Social Media,"3,057"
Google Stickers,5,Organic Search,639
Google Stickers,5,Direct,"2,973"
YouTube Cap,15,Organic Search,"3,117"
YouTube Cap,15,Organic Search,405
Google Stickers,5,Social Media,"3,057"
Puffer Vest,115,Organic Search,"1,339"
Google Hoodie,124,Social Media,"2,719"
Google Stickers,5,Referral,905
Puffer Vest,115,Organic Search,"2,221"
Greeting Cards,6,Referral,543
Google Stickers,5,Social Media,"3,056"
Google Stickers,5,Referral,"2,308"
Notebook,20,Paid Search,"1,267"
Notebook,20,Organic Search,"1,889"
YouTube Cap,15,Referral,710
Google Stickers,5,Social Media,810
Google Stickers,5,Referral,"2,247"
Google Stickers,5,Direct,"1,647"
Greeting Cards,6,Paid Search,"2,630"
Google Stickers,5,Direct,718
Notebook,20,Referral,"1,794"
Notebook,20,Referral,"3,481"
YouTube Cap,15,Direct,"3,239"
Backpack,125,Direct,"1,673"
Backpack,125,Direct,"2,694"
Google Stickers,5,Direct,887
Google Stickers,5,Referral,"3,348"
Google Stickers,5,Social Media,"1,191"
Google Stickers,5,Direct,179
Google Hoodie,124,Direct,524
Google Stickers,5,Direct,"2,261"
Google Water Bottle,10,Organic Search,"1,066"
Android T-Shirt,20,Direct,702
Google Stickers,5,Referral,"2,799"
Google Stickers,5,Paid Search,713
Greeting Cards,6,Paid Search,"3,033"
Lanyard,6,Organic Search,"2,560"
Google Stickers,5,Referral,"2,531"
Google Stickers,5,Referral,185
Notebook,20,Social Media,"2,013"
Google Stickers,5,Referral,"1,835"
Google Stickers,5,Paid Search,"1,885"
Backpack,125,Paid Search,"1,092"
Notebook,20,Paid Search,856
Canvas Tote,18,Referral,"3,131"
Google Hoodie,124,Social Media,"1,797"
Google Stickers,5,Paid Search,802
YouTube Cap,15,Social Media,"2,984"
Google Hoodie,124,Direct,"1,388"
Google Water Bottle,10,Paid Search,"2,270"
Google Hoodie,124,Social Media,851
Google Stickers,5,Organic Search,"2,851"
Google Stickers,5,Paid Search,"2,395"
Android T-Shirt,20,Organic Search,"1,168"
Google Stickers,5,Direct,183
Lanyard,6,Organic Search,"3,051"
Google Stickers,5,Direct,"1,514"
Lanyard,6,Referral,"1,400"
Google Hoodie,124,Organic Search,"1,819"
Backpack,125,Direct,"2,591"
Google Hoodie,124,Organic Search,"2,471"
Canvas Tote,18,Paid Search,"3,056"
Google Stickers,5,Paid Search,"1,267"
Google Water Bottle,10,Referral,458
Google Stickers,5,Paid Search,539
Greeting Cards,6,Referral,"3,156"
Notebook,20,Paid Search,177
Google Hoodie,124,Paid Search,827
Google Stickers,5,Paid Search,"2,395"
Google Stickers,5,Paid Search,83
Google Stickers,5,Social Media,"2,092"
Puffer Vest,115,Organic Search,"2,067"
Greeting Cards,6,Paid Search,227
Android T-Shirt,20,Organic Search,"2,136"
Google Stickers,5,Organic Search,1
Google Stickers,5,Social Media,65
Puffer Vest,115,Referral,893
Google Hoodie,124,Referral,"2,255"
Google Stickers,5,Paid Search,"2,973"
Canvas Tote,18,Social Media,"1,682"
Google Stickers,5,Referral,"3,311"
Google Stickers,5,Paid Search,"1,727"
Notebook,20,Social Media,140
Google Water Bottle,10,Paid Search,"1,815"
Google Hoodie,124,Social Media,"3,149"
YouTube Cap,15,Organic Search,"3,108"
Android T-Shirt,20,Paid Search,"2,332"
Google Hoodie,124,Organic Search,"2,340"
Google Hoodie,124,Paid Search,"2,818"
Google Hoodie,124,Paid Search,639
Google Hoodie,124,Direct,"3,457"
Google Stickers,5,Paid Search,"2,462"
Google Stickers,5,Paid Search,"3,227"
Puffer Vest,115,Direct,"3,059"
Google Hoodie,124,Organic Search,"2,510"
Notebook,20,Direct,"2,487"
YouTube Cap,15,Organic Search,195
Google Water Bottle,10,Organic Search,"2,104"
Canvas Tote,18,Social Media,46
Google Stickers,5,Referral,721
Google Stickers,5,Social Media,"1,229"
Canvas Tote,18,Paid Search,"2,206"
Google Stickers,5,Direct,"1,890"
Backpack,125,Direct,"3,242"
Google Stickers,5,Direct,"2,886"
Puffer Vest,115,Social Media,76
Google Hoodie,124,Direct,"2,309"
Notebook,20,Organic Search,"2,120"
Lanyard,6,Referral,"3,352"
YouTube Cap,15,Organic Search,"1,781"
Google Stickers,5,Organic Search,657
Notebook,20,Referral,"1,168"
Notebook,20,Direct,"3,153"
Google Hoodie,124,Direct,"2,977"
Google Stickers,5,Organic Search,"3,439"
Google Stickers,5,Organic Search,"1,974"
Google Water Bottle,10,Referral,"2,886"
Google Stickers,5,Direct,"3,482"
Google Water Bottle,10,Social Media,"1,367"
Greeting Cards,6,Direct,"1,393"
Google Water Bottle,10,Direct,916
Google Hoodie,124,Organic Search,250
Google Stickers,5,Referral,"1,059"
YouTube Cap,15,Direct,"2,247"
Greeting Cards,6,Referral,"1,831"
Backpack,125,Organic Search,"2,780"
Google Stickers,5,Social Media,312
Google Water Bottle,10,Social Media,"1,531"
Google Stickers,5,Direct,"2,651"
Backpack,125,Organic Search,"3,221"
Notebook,20,Referral,"1,599"
Google Hoodie,124,Paid Search,"1,750"
Puffer Vest,115,Organic Search,"1,114"
Google Stickers,5,Paid Search,"1,009"
Google Water Bottle,10,Direct,"1,336"
Greeting Cards,6,Social Media,323
Google Stickers,5,Social Media,"1,886"
Backpack,125,Referral,"1,028"
Backpack,125,Organic Search,"1,158"
Canvas Tote,18,Direct,"2,247"
Google Stickers,5,Referral,"2,602"
Notebook,20,Direct,"3,421"
Google Stickers,5,Direct,245
Android T-Shirt,20,Social Media,"1,901"
Google Hoodie,124,Organic Search,"2,013"
Greeting Cards,6,Direct,"1,194"
Google Stickers,5,Paid Search,"1,149"
Backpack,125,Social Media,559
Google Stickers,5,Referral,"2,308"
Google Water Bottle,10,Social Media,"2,595"
Lanyard,6,Direct,"3,566"
Google Hoodie,124,Organic Search,"2,556"
Notebook,20,Direct,503
Canvas Tote,18,Paid Search,"2,193"
Google Hoodie,124,Organic Search,"1,099"
Android T-Shirt,20,Paid Search,"2,322"
Greeting Cards,6,Social Media,"3,259"
YouTube Cap,15,Referral,688
Greeting Cards,6,Direct,"1,416"
Android T-Shirt,20,Organic Search,"1,577"
YouTube Cap,15,Referral,"1,737"
Google Hoodie,124,Organic Search,"2,962"
Google Stickers,5,Referral,192
Google Stickers,5,Direct,"1,632"
Google Hoodie,124,Social Media,"1,531"
Greeting Cards,6,Direct,"3,416"
Puffer Vest,115,Referral,"1,674"
Google Stickers,5,Referral,749
Google Hoodie,124,Social Media,"1,306"
Canvas Tote,18,Direct,"2,732"
Puffer Vest,115,Paid Search,"1,374"
Notebook,20,Social Media,"3,227"
Google Water Bottle,10,Direct,"1,755"
Google Water Bottle,10,Direct,"3,258"
Google Stickers,5,Direct,771
Google Stickers,5,Organic Search,"2,854"
Google Stickers,5,Organic Search,996
Android T-Shirt,20,Referral,992
Google Stickers,5,Referral,"2,665"
Greeting Cards,6,Referral,729
Google Stickers,5,Referral,"3,244"
Canvas Tote,18,Referral,"2,439"
Google Stickers,5,Paid Search,"3,065"
Backpack,125,Paid Search,"3,453"
Greeting Cards,6,Direct,697
Google Stickers,5,Referral,"1,177"
Google Stickers,5,Direct,322
Google Stickers,5,Paid Search,"3,104"
Lanyard,6,Social Media,"2,521"
Greeting Cards,6,Paid Search,873
Notebook,20,Paid Search,242
Android T-Shirt,20,Organic Search,"3,340"
Google Stickers,5,Organic Search,"2,223"
Google Water Bottle,10,Paid Search,"1,246"
Google Stickers,5,Social Media,"3,333"
Google Hoodie,124,Referral,"2,903"
Google Stickers,5,Referral,65
Google Stickers,5,Social Media,196
Google Hoodie,124,Organic Search,"2,809"
Puffer Vest,115,Organic Search,"3,234"
Backpack,125,Direct,"2,810"
Lanyard,6,Paid Search,15
Greeting Cards,6,Referral,"1,932"
Greeting Cards,6,Social Media,"1,499"
Lanyard,6,Paid Search,"2,933"
Google Hoodie,124,Organic Search,"3,255"
Android T-Shirt,20,Referral,"2,809"
Greeting Cards,6,Social Media,"2,904"
Google Hoodie,124,Social Media,"2,276"
Google Stickers,5,Social Media,"1,420"
Google Stickers,5,Referral,"3,020"
Google Hoodie,124,Referral,544
YouTube Cap,15,Paid Search,"1,785"
Puffer Vest,115,Organic Search,977
Notebook,20,Direct,"3,166"
Google Water Bottle,10,Direct,"1,801"
Google Hoodie,124,Direct,923
Google Stickers,5,Organic Search,210
YouTube Cap,15,Paid Search,"1,099"
Google Hoodie,124,Social Media,"1,210"
YouTube Cap,15,Paid Search,420
Greeting Cards,6,Direct,"2,471"
Google Stickers,5,Organic Search,484
YouTube Cap,15,Referral,999
Backpack,125,Social Media,"3,345"
Google Stickers,5,Organic Search,"2,426"
Greeting Cards,6,Paid Search,"1,088"
Greeting Cards,6,Social Media,256
Google Hoodie,124,Paid Search,"1,577"
Google Hoodie,124,Paid Search,"3,034"
YouTube Cap,15,Paid Search,172
Android T-Shirt,20,Social Media,"3,544"
YouTube Cap,15,Referral,317
Notebook,20,Social Media,"3,204"
Backpack,125,Paid Search,"1,675"
Google Stickers,5,Paid Search,"1,745"
Google Stickers,5,Paid Search,"1,794"
Greeting Cards,6,Organic Search,"1,349"
Google Hoodie,124,Referral,981
Canvas Tote,18,Direct,609
Google Stickers,5,Paid Search,"2,579"
Android T-Shirt,20,Paid Search,"1,427"
Lanyard,6,Social Media,"2,841"
Lanyard,6,Paid Search,"1,177"
Notebook,20,Paid Search,"1,248"
Puffer Vest,115,Direct,890
Lanyard,6,Referral,598
Android T-Shirt,20,Referral,"2,473"
Android T-Shirt,20,Organic Search,694
Android T-Shirt,20,Paid Search,"2,565"
Greeting Cards,6,Social Media,"3,557"
Google Stickers,5,Organic Search,"3,336"
Android T-Shirt,20,Organic Search,"2,536"
Notebook,20,Social Media,"1,836"
Google Stickers,5,Social Media,"2,416"
Google Stickers,5,Direct,"2,456"
Greeting Cards,6,Paid Search,929
Google Stickers,5,Paid Search,44
Google Hoodie,124,Paid Search,"2,085"
Google Stickers,5,Organic Search,"2,444"
Canvas Tote,18,Social Media,"2,409"
Notebook,20,Direct,"2,280"
Google Stickers,5,Organic Search,"1,989"
YouTube Cap,15,Paid Search,"1,017"
Google Stickers,5,Referral,"2,451"
Android T-Shirt,20,Referral,"1,674"
Puffer Vest,115,Direct,706
Puffer Vest,115,Paid Search,13
Google Stickers,5,Paid Search,829
YouTube Cap,15,Social Media,"2,947"
Google Stickers,5,Direct,"2,552"
Google Stickers,5,Organic Search,"2,058"
Google Water Bottle,10,Paid Search,"1,900"
Backpack,125,Organic Search,"1,874"
Notebook,20,Referral,"2,298"
Google Stickers,5,Referral,827
Google Hoodie,124,Social Media,"2,595"
Google Hoodie,124,Organic Search,"1,191"
Google Stickers,5,Paid Search,"2,382"
Backpack,125,Referral,"1,666"
Google Water Bottle,10,Direct,"2,773"
Lanyard,6,Organic Search,"1,102"
Google Stickers,5,Paid Search,846
Notebook,20,Paid Search,"1,234"
Google Stickers,5,Paid Search,"1,978"
Google Stickers,5,Organic Search,911
Google Stickers,5,Referral,"1,359"
Puffer Vest,115,Referral,"2,040"
Google Stickers,5,Referral,"3,261"
Google Stickers,5,Direct,"1,135"
Puffer Vest,115,Referral,"1,334"
Notebook,20,Social Media,515
Google Stickers,5,Referral,"1,175"
Google Stickers,5,Direct,"3,197"
Google Hoodie,124,Direct,408
Google Stickers,5,Paid Search,108
Google Hoodie,124,Social Media,575
Notebook,20,Paid Search,"1,401"
Puffer Vest,115,Referral,"1,750"
Google Water Bottle,10,Direct,327
Google Stickers,5,Direct,"2,724"
Google Hoodie,124,Direct,"1,292"
Lanyard,6,Direct,"1,112"
Lanyard,6,Paid Search,227
Backpack,125,Paid Search,"2,948"
Google Hoodie,124,Social Media,294
Lanyard,6,Social Media,"2,839"
Android T-Shirt,20,Organic Search,"2,469"
Android T-Shirt,20,Organic Search,"2,059"
Google Stickers,5,Paid Search,"2,994"
Greeting Cards,6,Organic Search,21
Google Stickers,5,Referral,"3,340"
Google Stickers,5,Direct,"3,361"
Google Stickers,5,Organic Search,"1,625"
Google Stickers,5,Social Media,"1,320"
Google Stickers,5,Paid Search,"1,706"
Google Stickers,5,Paid Search,"2,709"
YouTube Cap,15,Organic Search,"3,269"
Google Water Bottle,10,Referral,"2,015"
Google Stickers,5,Referral,"1,092"
Lanyard,6,Social Media,442
Google Hoodie,124,Direct,"2,956"
Google Stickers,5,Organic Search,"3,015"
Google Stickers,5,Paid Search,"2,525"
Lanyard,6,Organic Search,"1,373"
Google Hoodie,124,Social Media,"3,519"
Notebook,20,Organic Search,"2,510"
Lanyard,6,Paid Search,"1,248"
Google Water Bottle,10,Direct,"2,890"
Android T-Shirt,20,Referral,"1,789"
